100,1236.503000
433,7056.404000
766,13938.986000
1099,13988.602000
1432,18210.802000
1765,22497.697000
2098,26763.104000
2431,31309.301000
2764,35583.689000
3097,39626.504000
3430,43783.885000
3763,48131.107000
4096,54215.601000
4429,59113.581000
4762,63013.001000
5095,65497.897000
5428,69941.601000
5761,76001.603000
6094,78915.697000
6427,83426.498000
6760,88702.910000
7093,94593.697000
7426,96071.701000
7759,102694.493000
8092,105598.599000
8425,110511.295000
8758,114839.193000
9091,120098.902000
9424,124502.698000
9757,131390.699000
