100,1708.000000
433,726.000000
766,1258.000000
1099,1806.000000
1432,2330.000000
1765,2878.000000
2098,3426.000000
2431,3952.000000
2764,4490.000000
3097,5032.000000
3430,5576.000000
3763,6142.000000
4096,6738.000000
4429,7202.000000
4762,7758.000000
5095,8258.000000
5428,8800.000000
5761,9358.000000
6094,9956.000000
6427,10414.000000
6760,10948.000000
7093,11648.000000
7426,12054.000000
7759,12562.000000
8092,13138.000000
8425,13648.000000
8758,14190.000000
9091,14738.000000
9424,15260.000000
9757,15802.000000
