100,1169.600000
433,5060.690000
766,8043.201000
1099,11529.489000
1432,15238.606000
1765,18768.600000
2098,22335.201000
2431,25651.093000
2764,29280.598000
3097,33032.898000
3430,36077.499000
3763,39612.896000
4096,43539.399000
4429,47137.412000
4762,50396.303000
5095,53994.496000
5428,57486.201000
5761,60934.098000
6094,66432.000000
6427,68079.798000
6760,72739.700000
7093,75550.800000
7426,79750.899000
7759,82517.804000
8092,93548.905000
8425,108061.398000
8758,100370.898000
9091,98567.403000
9424,102741.899000
9757,104588.002000
