100,966.000000
433,7656.000000
766,5404.000000
1099,7438.000000
1432,9596.000000
1765,12016.000000
2098,14388.000000
2431,17032.000000
2764,19420.000000
3097,21170.000000
3430,23940.000000
3763,25618.000000
4096,28106.000000
4429,29478.000000
4762,32486.000000
5095,37150.000000
5428,36782.000000
5761,39422.000000
6094,59396.000000
6427,44364.000000
6760,51862.000000
7093,55434.000000
7426,52456.000000
7759,57508.000000
8092,60076.000000
8425,76890.000000
8758,58904.000000
9091,64654.000000
9424,73462.000000
9757,68516.000000
