100,12971.980000
433,44141.010000
766,155695.990000
1099,318882.980000
1432,581348.950000
1765,957954.960000
2098,1479944.930000
2431,2106452.970000
2764,2835431.970000
3097,3632662.000000
3430,4542782.920000
3763,6528387.950000
4096,6870042.860000
4429,7906767.040000
4762,9191013.030000
5095,10597437.000000
5428,12226843.950000
5761,13730111.950000
6094,15553676.010000
6427,17331852.970000
6760,19295024.040000
7093,21370502.040000
7426,23616153.100000
7759,26593546.030000
8092,28695066.950000
8425,30886752.040000
8758,33444671.900000
9091,36500944.990000
9424,39097378.980000
9757,41958503.970000
